grant_id,ai_scope,primary,secondary,confidence,basis
grants-2916-0,false,,,,climate engineering working group
grants-2943-0,false,,,,solar geoengineering governance
grants-2966-0,true,field,,medium,FLI is primarily an AI risk org
grants-2973-0,false,,,,biodefense policy panel
grants-33360-0,false,,,,general forecasting platform
grants-33362-0,true,field,,medium,Sage; AI forecasting and AI Digest
grants-33448-0,false,,,,quantitative estimation tools
grants-34823-0,false,,,,mirror life biosecurity dialogues
grants-34831-0,false,,,,climate engineering governance
grants-36420-0,false,,,,biosecurity research
grants-36423-0,false,,,,biosecurity research
grants-36425-0,false,,,,biosecurity fellowship
grants-36434-0,false,,,,biosecurity fellowship
grants-36436-0,false,,,,biosecurity fellowship
grants-36439-0,false,,,,protective equipment advocacy
grants-36441-0,false,,,,health security scholars
grants-36444-0,false,,,,biosecurity staff capacity
grants-36447-0,false,,,,protective equipment advocacy
grants-36476-0,false,,,,biosecurity equipment support
grants-36478-0,false,,,,protective equipment R&D
grants-36480-0,false,,,,biosecurity centre
grants-36483-0,true,4.2,field,high,AI x biosecurity research fellowship
grants-36485-0,false,,,,pandemic preparedness work
grants-36506-0,false,,,,health security scholars
grants-36530-0,false,,,,forecasting tooling; not AI risk
grants-36544-0,false,,,,mirror life biosecurity dialogues
grants-36546-0,false,,,,biological risk and infrastructure
grants-36548-0,false,,,,biosecurity policy advocacy
grants-36931-0,false,,,,general forecasting workshops
grants-37793-0,true,field,,high,AI safety and governance fellowship
grants-37795-0,false,,,,unspecified research expenses
grants-37799-0,false,,,,Spanish-language EA careers org
grants-37801-0,false,,,,biosecurity hub support
grants-37803-0,true,field,,high,AI safety conference day
grants-37805-0,true,field,,medium,AI safety ML upskilling bootcamp
grants-37807-0,true,field,,high,AI safety community building South Africa
grants-37809-0,true,field,,high,AI safety mentorship programme
grants-37811-0,true,field,,medium,Toronto AI safety hub space
grants-37813-0,true,field,,medium,career transitions into AI safety
grants-37815-0,false,,,,multi-cause research mentorship
grants-37817-0,true,field,,high,AI safety mentorship programme
grants-37819-0,true,field,,high,AI safety community building Hungary
grants-37821-0,true,field,,medium,careers org focused on AI risk
grants-37823-0,false,,,,EA office space
grants-37837-0,true,field,,medium,Kairos runs AI safety group programmes
grants-37839-0,true,field,,high,Kairos runs SPAR alignment mentorship
grants-37841-0,true,field,,high,SPAR alignment research mentorship programme
grants-37843-0,false,,,,biosecurity coworking space
grants-37845-0,true,field,,high,journalism centre covering AI risk
grants-38051-0,false,,,,mirror biology risk
grants-38055-0,false,,,,health security centre support
grants-38057-0,false,,,,pathogen detection
grants-38059-0,false,,,,biosecurity research centre
grants-38063-0,false,,,,biosecurity project
grants-38065-0,false,,,,indoor air cleaning
grants-38068-0,true,7.2,4.2,high,SecureBio AI team; model bio-uplift evaluation
grants-38070-0,false,,,,biosecurity grantmaking
grants-38106-0,false,,,,general existential risk courses
grants-38108-0,true,field,,high,AI safety community building
grants-38110-0,true,7.2,field,medium,course on evaluating AI models
grants-38112-0,false,,,,university events and course
grants-38114-0,true,field,,high,AI alignment student field-building org
grants-38116-0,true,field,,high,ML and AI safety bootcamp
grants-38118-0,true,field,,high,AI alignment winter fellowship
grants-38120-0,false,,,,coworking space; no AI signal
grants-38122-0,true,field,,high,AI safety headhunting and career support
grants-38124-0,true,field,,high,AI safety community building
grants-38126-0,true,field,,high,AI safety community building ANZ
grants-38128-0,true,field,,high,The Curve AI conference
grants-38130-0,true,2.2,field,medium,AI security capacity building
grants-38133-0,true,field,,high,AI governance and safety community
grants-38135-0,true,field,,medium,Meridian AI safety community space
grants-38199-0,false,,,,health security early career award
grants-38201-0,false,,,,mirror biology policy
grants-38497-0,true,field,,high,Zurich AI safety group support
grants-38499-0,false,,,,EA community organisation support
grants-38501-0,false,,,,biosecurity field-building events
grants-38664-0,true,field,,high,AI research fellowships; ML upskilling
grants-38666-0,true,field,,high,AI safety summer fellowship
grants-38669-0,true,field,,high,AI safety research fellowships
grants-38723-0,true,field,,high,LISA is an AI safety research hub
grants-38725-0,true,7.1,,high,AI alignment research programme
grants-38727-0,false,,,,EA coworking space
grants-38729-0,true,field,,high,AI safety mentorship programme
grants-39460-0,false,,,,particle sensor development
grants-39462-0,false,,,,airborne hazard building protections
grants-39464-0,false,,,,indoor air quality competition
grants-39466-0,false,,,,biodefense research fellowship
grants-39468-0,false,,,,biosecurity event
grants-39470-0,false,,,,biosecurity research assistantship
grants-39472-0,false,,,,biosecurity science accelerator
grants-39474-0,false,,,,biosecurity research organisation
grants-39476-0,false,,,,school air quality pilot
grants-39478-0,false,,,,biosecurity organisation general support
grants-39480-0,false,,,,biosecurity investigative journalism
grants-39482-0,true,6.5,4.2,high,international dialogues on AI-bio governance
grants-39484-0,false,,,,biosecurity equipment support
grants-39486-0,false,,,,biosecurity conference session
grants-39491-0,false,,,,pandemic threat analytics
grants-39579-0,false,,,,biosecurity and biosafety
grants-39590-0,false,,,,pandemic supplies financing advisory
grants-39599-0,false,,,,bioresilience company incubation
grants-39892-0,false,,,,airborne hazard building protections
grants-39894-0,false,,,,airborne hazard building protections
grants-39896-0,false,,,,biosecurity regranting
grants-39898-0,false,,,,biosecurity capacity building
grants-39914-0,false,,,,EA marketing agency support
grants-4969-0,false,,,,forecasting platforms; no AI angle
grants-7044-0,false,,,,biosecurity research project
grants-7049-0,false,,,,pandemic ballot initiative
grants-7058-0,true,field,,high,tournament forecasting AI progress
grants-7059-0,true,field,,high,forecasting tournament on AI progress
grants-7076-0,false,,,,biosecurity scholarship support
grants-8287-0,false,,,,solar geoengineering in developing countries
grants-8385-0,false,,,,general longtermist video production
grants-8388-0,false,,,,biosecurity individual support
grants-8389-0,false,,,,forecasting course development
grants-8422-0,false,,,,EA infrastructure regranting
grants-8429-0,false,,,,general longtermist scholarships
grants-8430-0,false,,,,thin individual work and study
grants-8443-0,false,,,,thin scholarship description
grants-8470-0,false,,,,general talent scholarships
grants-8494-0,false,,,,biological weapons convention verification
grants-8515-0,false,,,,pandemic preparedness
grants-8599-0,false,,,,EA debate curriculum
grants-8633-0,false,,,,biosecurity regranting
grants-8645-0,false,,,,EA debate tournament
grants-8683-0,false,,,,climate overshoot governance
grants-8912-0,false,,,,general existential risk fellowship
grants-9469-0,false,,,,nuclear security grantmaking
grants-9480-0,false,,,,EA fund regranting
grants-9496-0,false,,,,course development support
grants-9498-0,false,,,,course development support
grants-9506-0,false,,,,biosecurity research support
grants-9525-0,false,,,,COVID antiviral studies
grants-9534-0,false,,,,course development support
grants-9536-0,false,,,,longtermism video production
grants-9538-0,true,field,,high,forecasting AI progress contract
grants-9550-0,true,field,,medium,LessWrong is AI alignment discussion infrastructure
grants-9556-0,false,,,,European biosecurity policy
grants-9558-0,false,,,,course development support
grants-9560-0,false,,,,lipid nanoparticle science
grants-9882-0,false,,,,biosecurity scholarships
